Regulator	Molecule Type	Target genes	count	z-score	Direction
IL15	cytokine	ACADS, ACTG2, ACTN4, AHR, ANXA1, APBA1, AQP3, ARHGDIB, ATF4, AZU1, BAMBI, BBC3, BCL2, BCL2L1, BCL2L11, BRK1, BTG1, CALM1 (includes others), CASP3, CCL11, CCL17, CCL18, CCL19, CCL2, CCL3, CCL4, CCL5, CCND1, CCND2, CCND3, CCR1, CCR2, CCR9, CD160, CD2, CD226, CD244, CD274, CD28, CD33, CD38, CD40, CD40LG, CD44, CD46, CD5, CD53, CD55, CD59, CD69, CD74, CD80, CD83, CD86, CD8A, CD8B, CDH1, CDK2AP1, CDK4, CDK6, CDKN1A, CDKN1B, CDKN2B, CEACAM1, CISH, CKS1B, CKS2, CMKLR1, COPB2, CORO1A, COX6C, CPT1A, CSF1, CSF2, CSF3, CTGF, CTSW, CX3CR1, CXCL10, CXCL12, CXCL2, CXCL8, CXCR4, CXCR6, DARS2, DDT, DDX18, DEFA1 (includes others), DHRS4, DPP4, DPYSL5, DUSP11, DUSP14, DUSP5, DYRK1A, EBP, EDN1, EGR2, ELK3, EOMES, EPHB1, ETS1, EXOSC8, FAM160B1, FAS, FASLG, FCGR3A/FCGR3B, FKBP1A, FLT3LG, FMO3, FOXP3, FYB, FYN, G6PD, GABARAPL2, GABPB1, GAPDH, GARS, GATA3, GCNT1, GDI2, GGT5, GLDC, GNAS, GNL2, GNLY, GPRC5A, GZMB, GZMK, H2AFY, HAT1, HAVCR2, HCST, HIST2H2AA3/HIST2H2AA4, HLX, HMCN1, HNRNPA2B1, HNRNPF, HSPA8, HSPE1, ICAM2, ICAM5, ICOS, ID4, IFI35, IFIT1, IFITM1, IFNB1, IFNG, IL10, IL12B, IL12RB1, IL12RB2, IL13, IL15RA, IL17A, IL18R1, IL18RAP, IL1RAP, IL2, IL21, IL21R, IL22, IL24, IL2RA, IL2RB, IL2RG, IL32, IL4, IL5, IL6, IL7R, IL9, IRF1, ITGB1, ITGB5, ITGB7, JUN, JUNBCISH, JUNB, KIR2DL1/KIR2DL3, KIR3DL1, KIT, KLRB1, KLRC1, KLRC4-KLRK1/KLRK1, KLRD1, KLRG1, LCK, LEF1, LEP, LIF, LSP1, LTA, LYN, LYPLA1, MAF, MAPK1, MAPK3, MAPKAPK3, MCL1, MCM5, MICA, MICB, MIF, MKI67, MLLT3, MSLN, MST1, MT1G, MT1H, MTA2, MX1, MYC, MYD88, MYH1, MYH2, NAGA, NCAM1, NCR1, NCR2, NCR3, NFKBIA, NHLH2, NME1, NME4, NOS2, NR3C2, NUDT1, OAZ1FYB, OAZ1, OGN, P2RX1, PA2G4, PAFAH1B3, PCBP2, PCNA, PDCD1, PDCD4, PDCD5, PDE4B, PDIA3, PDIA4, PFDN4, PFN1, PIM1, PKMYT1, PLD1, PLEK, PMAIP1, PNP, POLR2K, PPARD, PPARGC1A, PPARGC1B, PPP6C, PRDX4, PRF1, PRKACA, PSAP, PSG1, PSMA5, PSMB10, PSMB8, PSMB9, PTP4A1, PTP4A2, PTPN13, PTPRC, PTPRJ, PYGL, RAB8A, RAC2, RBBP8, RBPJ, RGS16, RPS3A	277.0	6.770666666666667	induced
IL17A	cytokine	ACTA2, ACTB, APBA3, BCL2, BCL2A1, C3, CAMP, CCL11, CCL17, CCL2, CCL20, CCL22, CCL26, CCL4, CCL5, CD14, CD163, CD274, CD40, CD68, CD83, CEBPB, CEBPD, COL1A1, COTL1, CRP, CSF2, CSF3, CTGF, CTSK, CTTN, CX3CL1, CXCL1, CXCL12, CXCL13, CXCL2, CXCL3, CXCL5, CXCL6, CXCL8, CYP7B1, CYR61, CYTH3, DEFB103A/DEFB103B, DEFB104A/DEFB104B, DEFB4A/DEFB4B, DLX1, EDIL3, ENTPD1, EREG, FAS, FIGF, FMO1, FOS, FOSL1, GADD45A, GBP2, GUSB, HBEGF, HEXB, HSPB8, ICAM1, IFIT1B, IFNG, IL10, IL12A, IL13, IL16, IL17A, IL17F, IL17RA, IL19, IL1A, IL1B, IL1RN, IL20, IL22, IL23A, IL27, IL33, IL4, IL5, IL6, IL9, ISG15, ITPR1, ITPR2, IVL, JAG1, JUNCOL1A1, JUN, KLF2, KLF3, KRT17, LCN2, LEP, LIF, LOX, MERTK, MMP1, MMP13, MMP2, MMP3, MMP8, MMP9, MPO, MRC1, MSX2, MUC5AC, MYC, NFKBIZ, NME3, NOS2, NOS3, NRP1	115.0	6.1915	induced
IL18	cytokine	ACTA1, ADAMTS5, ADIPOQ, BCL2, BCL2L1, BSG, CAMP, CCL11, CCL2, CCL20, CCL3, CCL3L3, CCL4, CCL5, CCR4, CCR5, CCR7, CD226, CD244, CD40, CD40LG, CD44, CD69, CD83, CD86, CDH1, CFLAR, CSF1, CSF2, CXCL10, CXCL11, CXCL12, CXCL16, CXCL3, CXCL8, CXCL9, CYSLTR2, DEFA1 (includes others), FAS, FASLG, FCGR3A/FCGR3B, GADD45B, GADD45G, GJA1, HAVCR2, HLX, ICAM1, IDO1, IFNG, IL10, IL12A, IL12RB1, IL12RB2, IL13, IL17A, IL18, IL18BP, IL18R1, IL18RAP, IL1A, IL1B, IL2, IL22RA2, IL2RA, IL32, IL4, IL5, IL6, IL9, INPP5D, IRF1, ITGAM, JUNCFLAR, JUN, KIT, KLRC4-KLRK1/KLRK1, KLRG1, MMP1, MMP13, MMP15, MMP3, MMP9, MPO, MSH2, NCR1, NFKBIZ, NOS2, NPPA	88.0	6.710999999999999	induced
IL1A	cytokine	ABCC2, ADAMTS1, ADAMTS4, ADAMTS5, ADORA2A, ADORA2B, ALDH1A1, ALDH1A3, ALDH3A2, APOD, APP, ASIC1, ASIC2, ASIC3, BAX, BCL2, BCL2L1, BCL3, BIRC2, BIRC3, BTN3A3, CCL11, CCL2, CCL20, CCL3, CCL4, CCL5, CCL8, CCR2, CCR6, CD274, CD40, CD44, CD80, CD83, CD86, CDKN1A, CSF1, CSF2, CXCL1, CXCL10, CXCL12, CXCL2, CXCL3, CXCL5, CXCL8, CYP11A1, CYP17A1, CYP1A1, CYP1A2, CYP2B6, CYP2E1, CYP3A4, CYP3A5, CYR61, DEFB4A/DEFB4B, DPP4, EPO, F2RL1, F2RL3, FAM89B, FAS, FASLG, FGF2, FGF7, FGFR1, FOS, FTH1, GBP1, GCH1, GNB4, GNRHR, HDC, HMOX1, HSD11B1, HSD3B1, HSPG2, IAPP, ICAM1, IFNGR1, IFNGR2, IGF1, IGFBP5, IK, IL10, IL11, IL12B, IL18, IL1A, IL1B, IL1R2, IL1RN, IL2, IL20, IL2RA, IL32, IL36B, IL36G, IL4, IL5, IL6, INHBA, IRAK1, ITGA5, ITGAV, ITGB1, ITGB3, JAM2, JUNCSF1, JUN, KIT, KITLG, LCN2, LDHA, LEP, LGALS9, LIF, LOX, MCAM, MED1, MMP1, MMP10, MMP12, MMP13, MMP14, MMP2, MMP3, MMP9, MT2A, MYC, NFKB1, NFKBIA, NFKBIZ, NGF, NOS2, NPY, NR2F2, NR3C1FTH1, NR3C1, ORM1, P2RY6, PDCD1LG2, PDGFA, PDGFB, PDZK1IP1, PI3, PLA2G4A, PLAU, POMC, PPARG, PTGES, PTGS2, PTX3, RBL2, RELA, RHCG	156.0	6.224333333333333	induced
IL1B	cytokine	A2M, A4GALT, ABCB11, ABCC2, ABCC3, ABCD3, ABCG2, ACAN, ACHE, ACKR2, ACPP, ACTA2, ADAM8, ADAMTS1, ADAMTS4, ADAMTS5, ADM, ADRB2, AGER, AGTR1, AIF1, AKR1B1, ALDH7A1, ALOX15, ALPL, AMPD3, ANGPT1, ANGPTL4, ANTXR1, ANXA1, ANXA9, APCS, APOB, APOC2, APOE, APOL6, APP, AQP4, ARC, ARG1, ARL6IP5, ASAH2, ASS1, ATF3, ATF4, ATF5, ATP1A1, ATP2A2, AVP, AVPR1A, BAX, BCL2, BCL2A1, BCL2L1, BCL3, BDKRB1, BDNF, BGLAP, BGN, BIRC2, BIRC3, BMF, BMP2, BMP4, BTG2, BTRC, C1R, C3, CABP1, CALB1, CALCA, CASP10, CASP3, CASP4, CASR, CAT, CCKAR, CCL1, CCL11, CCL13, CCL17, CCL2, CCL20, CCL22, CCL24, CCL27, CCL28, CCL3, CCL4, CCL5, CCL7, CCR1, CCR2, CCR5, CCR6, CCR7, CCR8, CCRL2, CD14, CD274, CD4, CD40, CD40LG, CD44, CD55, CD69, CD74, CD80, CD82, CD83, CD86, CDH22, CDKN1A, CDX1, CEBPA, CEBPB, CEBPD, CEBPG, CFB, CFLAR, CFTR, CHI3L1, CHST6, CIITA, CISH, CLIP2, CMPK2, CNR2, CNTF, COL10A1, COL1A1, COL2A1, CP, CPB2, CREM, CRH, CRHR1, CRP, CRYAB, CSF1, CSF2, CSF2RB, CSF3, CSRNP1, CTGF, CTNNB1, CTSB, CTSF, CTSS, CTSZ, CX3CL1, CX3CR1, CXCL1, CXCL10, CXCL11, CXCL12, CXCL2, CXCL3, CXCL5, CXCL6, CXCL8, CXCL9, CXCR1, CXCR3, CXCR4, CYBA, CYBB, CYP11A1, CYP19A1, CYP1A1, CYP1A2, CYP2B6, CYP2C19, CYP2C9, CYP2E1, CYP3A4, CYP3A5, CYP7A1, CYP8B1, CYSLTR1, CYTIP, DAB2, DBP, DCN, DDIAS, DDIT3, DDIT4, DDX5, DEFB4A/DEFB4B, DIO1, DLL4, DNMT1, DNMT3A, DPP4, DR1, DUSP1, DUSP5, E2F1, E2F2, EBI3, EDN1, EFNA1, EGLN3, EGR1, EHF, EIF4E, ELAVL1, ELF3, ELN, ENPP1, ENPP2, EP300, EPAS1, EPO, ERBB2, ERRFI1, ESR1, ESRRA, ETS2, F13A1, F2RL1, F3, FABP1, FABP5, FAM129A, FAS, FASLG, FCER2, FCGR2B, FGB, FGF18, FGF2, FGF7, FGFR2, FGFR3, FGG, FKBP5, FLT1, FMR1, FN1, FOS, FOSB, FOSL1, FOXO1, FPR2, FST, FUT7, G0S2, G6PD, GAD1, GAD2, GADD45A, GADD45B, GAS6, GAST, GATA3, GBP1, GBP2, GBP3, GBP6, GCH1, GCHFR, GCK, GCLC, GDF15, GEM, GHR, GJA1, GLA, GM2A, GNAS, GNL1, GNRH1, GRB7, GRIA1, GRN, GSK3B, GSTA1, GSTA2, GTF2F1, GUSB, GYS1, HAS1, HAS2, HBEGF, HDAC1, HELZ2, HERC5, HES1, HEXA, HEXB, HGF, HIF1A, HK2, HLA-A, HLA-DRA, HLA-E, HMGA1, HMGB1, HMOX1, HNF1B, HNF4A, HOMER1, HP, HPGDS, HPRT1, HSD11B1, HSF1, HSPA1A/HSPA1B, HSPA1L, HSPB1, HSPG2, IAPP, IBSP, ICAM1, ICOSLG/LOC102723996, ID3, IDO1, IER2, IER3, IFI16, IFIT1, IFIT1B, IFIT3, IFNG, IFNGR1, IFRD1, IGF1, IGFALS, IGFBP1, IGFBP3, IGFBP4, IGFBP5, IGFBP6, IKBKE, IL10, IL10RA, IL11, IL12A, IL12B, IL15, IL15RA, IL16, IL17A, IL17F, IL18, IL18R1, IL18RAP, IL19, IL1A, IL1B, IL1R1, IL1R2, IL1RAP, IL1RL1, IL1RN, IL2, IL20, IL22, IL23A, IL23R, IL24, IL27, IL2RA, IL32, IL33, IL36A, IL36B, IL36RN, IL3RA, IL6, IL6R, IL7, IL9, INHBA, INS, INSR, INSRR, IRAK1, IRAK2, IRAK3, IRF1, IRF4, IRF7, IRG1, IRS1, IRS2, ISG15, ISG20, ISL1, ITGA1, ITGA5, ITGAM, ITGAV, ITGB1, ITGB3, ITGB8, ITPKB, JUN, JUNB, JUNDCFB, JUND, KCNH2, KCNH8, KCNJ1, KDR, KIF15, KLF10, KLK2, KLRB1, KRT19, LAMA3, LAMB3, LAMC2, LBP, LCN2, LCP1, LDHA, LDLR, LEP, LGALS9, LGALS9B, LHB, LIF, LIFR, LOX, LY96, MAFA, MAP2K6, MAP3K8, MAPK14, MAPK8IP1, MAPT, MARCKSL1, MCL1, MEF2B, MEF2C, MEFV, MIA, MIF, MMP1, MMP10, MMP11, MMP12, MMP13, MMP14, MMP2, MMP3, MMP7, MMP8, MMP9, MT-CO2, MT2A, MTDH, MUC1, MUC2, MUC3A, MUC4, MUC5AC, MUC5B, MX1, MYC, MYEF2, MYH11, MYLK, MYLK3, MYOD1, MYOG, NAMPT, NCOA2, NEUROD1, NFAT5, NFE2L2, NFIL3, NFKB1, NFKB2, NFKBIA, NFKBIB, NFKBIZ, NFYB, NGF, NKX2-2, NKX6-1, NLRP7, NMI, NOS1, NOS2, NOS3, NOX1, NPPA, NPY, NQO1, NR0B2, NR1D1, NR1H3, NR1H4, NR1I3, NR4A1, NR4A2, NR4A3, NRP1, NTRK1, OAS2FUT7, OAS2, OCLN, ODC1, OLR1, ORM1, OSM, OSMR, OXTR, P2RX7, P4HB, PAPPA, PAX6, PCDH7, PCSK1, PCSK2, PDCD1LG2, PDE4B, PDGFB, PDGFRA, PDK1, PDX1, PELI3, PENK, PFKP, PGAM1, PHLDA1, PI3, PIGR, PIM1, PIM3, PLA2G2A, PLA2G3, PLA2G4A, PLA2G5, PLAA, PLAT, PLAU, PLB1, PLD1, PLD3, PLK3, PLSCR1, PLXDC2, POMC, POSTN, PPARA, PPARG, PPARGC1A, PPARGC1B, PPP1R14A, PRKCD, PSEN1, PSMB10, PSMB8, PSMB9, PSME2, PTGDS, PTGES, PTGFR, PTGIS, PTGS1, PTGS2, PTH, PTHLH, PTP4A1, PTPRN, PTX3, RAB3C, RAC2, RAN, RARA, RARB, RASA2, RCAN1, REL, RELA, RELB, REN, RGS16, RHOB, RIPK2, RNASE1, RNASE7, RORA, RORC, RPSAA2M, RPSA, RRS1, RSAD2, RUNX2, RXRA, RXRB, S100A10, S100A6, S100A8, S100A9, S100B, SAA1, SAA2, SCARB1, SCLY, SCN9A, SCNN1A, SCNN1B, SCNN1G, SCUBE1, SCUBE2, SCX, SDC1, SDC4, SELE, SEMA3A, SEPP1, SERPINA3, SERPINB2, SERPINB9, SERPINE1, SERPINF2, SERPINH1, SESN1, SFTPA1, SHH, SIRT1, SIRT3, SLAMF1, SLC10A1, SLC10A2, SLC11A2, SLC12A1, SLC14A1, SLC14A2, SLC1A2, SLC1A3, SLC20A1, SLC22A4, SLC25A25, SLC25A4, SLC2A1, SLC2A2, SLC2A4, SLC2A9, SLC37A4, SLC3A1, SLC5A2, SLC6A4, SLC9A3, SLCO1B1, SMAD7, SNAP25, SNCA, SOCS1, SOCS2, SOCS3, SOD2, SOX9, SPARC, SPP1, SREBF1, SRGN, ST18, STAR, STAT1, STAT3, STAT4, STAT5A, STAT6, STMN2, SULT1E1, SYVN1, TAC1, TACR1	674.0	9.441	induced
IL1RN	cytokine	ACTA2, ATF3, BDKRB1, BDNF, BTN3A1, BTRC, CCL2, CCL20, CHAC1, CIITA, CNTF, CRH, CTSS, CXCL1, CXCL11, CXCL3, CXCL5, CXCL8, CYLD, CYP1A2, CYP2E1, CYP3A5, CYP7A1, DDX58, DSPP, EIF2AK3, ERAP2, GBP1, GRIA1, GSDMD, H6PD, HDAC9, HERC6, HLA-DQB1, HSD11B1, ICAM1, IFI27, IFI44, IFI44L, IFI6, IFIH1, IFIT3, IFIT5, IFNG, IGF1, IGFBP4, IGFBP5, IL10, IL17A, IL18BP, IL1A, IL1B, IL2, IL32, IL6, INS, IRF1, IRF7, IRF9, ISG20CHAC1, ISG20, KCTD7, KLF6, LAMP3, LGALS9, LIF, LIFR, MMP1, MMP9, MX1, MX2, NGF, NOS2, NPY2R, NR0B2, NTRK1, OAS1, OAS2, OAS3, OASLGBP1, OASL, PELI1, PMAIP1, PML, PTGS2, RARRES1, RELA, RIPK1, RIPK2	89.0	-5.864999999999999	repressed
IL2	cytokine	ABCB4, ABCC1, ACVR1B, ADCY3, ADCY9, AHR, AICDA, AMICA1, APOBEC3G, ARHGDIA, ATF5, ATM, AVP, BAG1, BAX, BBC3, BCCIP, BCL2, BCL2L1, BCL6, BHLHE40, BIRC3, BMP2, C3, CACNA1E, CACNG3, CALCA, CAMK2N1, CAPN5, CARD10, CARD6, CARD9, CASP1, CASP3, CCL11, CCL2, CCL3, CCL3L3, CCL4, CCL5, CCND1, CCND2, CCND3, CCNE1, CCNE2, CCNG1, CCNG2, CCR2, CCR3, CCR4, CCR5, CCR6, CCR7, CCR8, CCR9, CD160, CD2, CD244, CD247, CD274, CD28, CD38, CD3D, CD3G, CD40, CD40LG, CD44, CD46, CD5, CD58, CD59, CD69, CD80, CD83, CD86, CD8A, CDC25A, CDC6, CDH1, CDK2, CDK4, CDK5R1, CDK6, CDKN1A, CDKN1B, CDKN1C, CDKN2C, CEACAM1, CEBPA, CFLAR, CISH, CLSPN, CMKLR1, CPD, CREB1, CRH, CSF1, CSF1R, CSF2, CSF2RA, CSF2RB, CSF3, CSN2, CSRNP1, CTCF, CTLA4, CTPS1, CTSC, CTSW, CX3CR1, CXCL10, CXCL12, CXCL3, CXCL8, CXCR1, CXCR3, CXCR4, CXCR5, CXCR6, CYCS, CYP1A1, CYP1A2, CYP27A1, CYP2B6, CYTH4, CYTIP, DAP, DAPK1, DAPK2, DARS2, DDX21, DENND2D, DHODH, DKC1, DLST, DPP4, DRD5, DUSP2, DUSP4, DUSP5, DUSP6, DUSP7, E2F4, EDN1, EEF1E1, ELF1, ELMO3, EMP1, ENPP2, EOMES, EPHA4, ETS1, EVL, FAS, FASLG, FCER1G, FCGR3A/FCGR3B, FGF2, FGF7, FGFR1, FGFR2, FLT3LG, FOS, FOXO1, FOXO3, FOXP3, FYN, GADD45B, GADD45G, GAPDH, GARS, GART, GATA3, GCNT1, GDF15, GFAP, GNL3, GPSM1, GZMA, GZMB, HAVCR2, HCK, HCST, HDAC1, HEMGN, HK2, HSP90B1, HSPA1A/HSPA1B, HSPA5, HSPD1, ICAM1, ICOS, IDI1, IDO1, IER3, IFNG, IFNGR1, IFNGR2, IL10, IL10RA, IL12B, IL12RB1, IL12RB2, IL13, IL17A, IL17F, IL17RB, IL18, IL18BP, IL18R1, IL18RAP, IL1A, IL1B, IL1R1, IL1R2, IL1RL1, IL2, IL22, IL23R, IL24, IL26, IL27RA, IL2RA, IL2RB, IL2RG, IL3, IL4, IL4R, IL5, IL6, IL7R, IL9, ING4, IP6K2, IRF1, IRF4, ISG20, ITGA1, ITGA2, ITGA4, ITGAE, ITGB1, ITGB7, ITK, ITM2B, JAK1, JAK2, JAK3, JUN, JUNDCFLAR, JUND, KIR2DL1/KIR2DL3, KIR2DL4, KIR3DL1, KIT, KLF13, KLF6, KLRB1, KLRC1, KLRC4-KLRK1/KLRK1, KLRD1, KLRG1, LAPTM5, LCK, LCP2, LDLR, LGALS12, LIF, LIFR, LRMP, LRRC32, LTA, LTB, LY6E, MAF, MAP2K1, MAP2K6, MAPKAPK2, MAPKAPK3, MLLT3, MMD, MME, MMP2, MMP25, MMP9, MX1, MYB, MYC, NAB2, NCR1, NCR2, NCR3, NDUFA12, NETO2, NFKB1, NIFK, NME1, NMI, NOP2, NOS2, NRGNFYN, NRGN, OSM, PAX5, PCNA, PDCD1, PDCD11, PDCD2L, PDCD4, PDE3B, PDE4A, PDE4B, PDGFC, PDIA3, PEA15, PECAM1, PHB, PHB2, PHLDA1, PHLDA2, PIK3R3, PIM1, PIM2, PINX1, PLA2G10, PLA2G2D, PLCB1, PLK1, PMAIP1, PNP, POLE2, POLR1B, POLR1C, POLR2D, POLR3K, PPAT, PPP2R2B, PPP6C, PRDM1, PRF1, PRKD2, PRKX, PROK2, PSMB1, PTCH1, PTGS2, PTHLH, PTPN6, PTPN7, PTPRC, PTPRJ, PTRH2, PUS1, RAF1, RAG2, RFFL, RFTN1, RGCC, RGPD3 (includes others), RGS16, RGS2, RHOB, RNF128, RORC, RPL10, RPL21ABCB4, SNAP23, SOCS1, SOCS2, SOCS3, SOS1, SPP1, SPRED1, SPRED2, STAM, STAT3, STAT4, STAT5B, STIP1, STK17A, STK17B, TBX21, TFDP2, TGFB1, TIAL1, TIMP1, TLR2, TNF, TNFAIP8, TNFRSF10A, TNFRSF10B, TNFRSF10C, TNFRSF11A, TNFRSF11B, TNFRSF12A, TNFRSF13B, TNFRSF13C, TNFRSF17, TNFRSF18, TNFRSF1A, TNFRSF1B, TNFRSF21, TNFRSF4, TNFRSF8, TNFRSF9, TNFSF10, TNFSF11, TNFSF14, TNFSF9, TP53, TP53INP1, TP53RK, TPI1, TRAF1, TRAF2, TRAF5, TRAF6, TRIB2, TRIB3, UBE2W, UCK2, UGP2, UMPS, UPP1, VDAC1, VEGFA, VIM, WDR3, WT1, XBP1, XCL1, YARS, ZBED2, ZHX1ABCB4, RPL21, RRAS2, RUFY1, S100A4, SATB1, SELL, SELPLG, SERPINB9, SESN1, SESN3, SIPA1, SLC2A3, SLC30A1	447.0	8.739333333333333	induced
IL21	cytokine	AICDA, ARG1, BATF, BCL2, BCL2L1, BCL2L11, BCL6, BSG, CCL11, CCL20, CCL24, CCL5, CCR10, CCR7, CD1D, CD2, CD244, CD27, CD28, CD38, CD40LG, CD69, CD86, CDKN1A, CDKN1B, CSF2, CXCL10, CXCL13, CXCL8, CXCR5, EOMES, FCGR2B, FOXP3, GZMA, GZMB, HCST, HLX, HSH2D, ID2, IDO1, IFNG, IL10, IL12RB2, IL13, IL17A, IL18R1, IL18RAP, IL2, IL21, IL21R, IL23A, IL23R, IL2RA, IL2RB, IL4, IL5, IL6, IL7R, IL9, IRF4CSF2, IRF4, KLRB1, KLRC1, KLRC4-KLRK1/KLRK1, KLRD1, KLRG1, MCL1, MKI67, MMP12, MMP2, MMP9, MYD88, NCR1, NCR2, NCR3, NOS2	76.0	3.526	induced
IL22	cytokine	ABCG1, ACTA2, AKT1, BCL2, BCL2L1, CALML3, CALML5, CCL17, CCL22, CCND1, CD274, CDK4, CLCA1, CXCL2, CXCL5, CXCL8, CYP1A2, CYP2E1, DEFB103A/DEFB103B, DEFB104A/DEFB104B, DEFB4A/DEFB4B, DMBT1, FGA, FLG, GPT, HLA-B, HMOX1, HNF1A, HP, HSPB1, IFNG, IL10, IL12B, IL13, IL17A, IL1A, IL1B, IL20, IL33, IL4, IL5, IL6, IVLCLCA1, IVL, KRT1, KRT17, LBP, LCN2, LOR, MCL1, MMP1, MMP3, MMP9, MTOR, MUC1, MUC2, MUC4, MUC5AC, MUC5B, MYC, NOS2GPT, NOS2, PDGFA, RAB7A, RBL2, REG3A, REG3G, RETNLB	68.0	3.121	induced
IL27	cytokine	ADGRE1, AHR, APOL1, B2M, BST2, C10orf10, CCL16, CCL2, CCL20, CCL3, CCL4, CCL5, CCL7, CCND2, CCND3, CD14, CD163, CD63, CD74, CD80, CD86, CDK4, CEBPD, CFLAR, CIITA, CKLF, CR1, CSF2, CTLA4, CX3CL1, CXCL10, CXCL11, CXCL8, CXCL9, EGR1, EGR2, FASLG, FOS, FOXP3, GADD45G, GATA3, GBP2, GZMB, HLA-A, HLA-B, HLA-C, HLA-DMA, HLA-DMB, HLA-DOA, HLA-DOB, HLA-DPA1, HLA-DQA1, HLA-DQB1, HLA-DRA, HLA-E, HPGD, ICAM1, ICOS, IFNA2, IFNG, IFNL1, IL10, IL12A, IL12B, IL12RB2, IL13, IL15RA, IL17A, IL17F, IL18, IL18BP, IL1A, IL1B, IL1RN, IL2, IL21, IL22, IL2RA, IL4, IL5, IL6, IL9, IRF1, ITGAMCFLAR, ITGAM, LAG3, MAF, MRC1, MX1, MYC, NFATC1, NOS2GADD45G, NOS2, PIM1, PRDM1, PTGS2, RARRES3, RORC	98.0	3.314333333333334	induced
IL3	cytokine	ABCA2, ACOX1, ADA, ADGRE1, ADGRE5, AKR1A1, ALDH2, ALOX5AP, APBA2, AREG, ARHGAP29, ARHGDIB, ARHGEF1, ATF5, BCL2, BCL2L1, BCL2L11, BIRC3, BMP2, BNIP3L, BTG2, C1QA, CALR, CAMKK2, CAPZB, CASP3, CASP9, CAT, CBFB, CCL11, CCL19, CCL2, CCND1, CCND2, CCND3, CCNG1, CCR3, CCT5, CD14, CD1A, CD247, CD3D, CD3G, CD40, CD40LG, CD48, CD53, CD63, CD69, CD80, CD83, CD86, CDKN1A, CDKN1B, CEBPG, CEBPZ, CIAPIN1, CISH, CITED2, CLEC11A, CLEC4C, COPS4, CPT1A, CRAT, CREM, CSF1, CSF1R, CSF2, CSF3, CSNK1A1, CTLA4, CTTN, CXCL8, CXCL9, CXCR4, DAD1, DDIT3, DHPS, DOK2, ECH1, EEF1A1, EGR1, EGR2, EGR3, EIF1AX, EIF2AK2, EIF3G, ELAVL3, ELK4, EMP3, F2R, FAS, FASN, FCER1A, FCER2, FCGR2A, FCGR2B, FGFR1, FGFR4, FKBP3, FOS, FOSL2, FOXD3, FUS, GADD45A, GADD45B, GADD45G, GART, GATA1, GATA2, GNA13, GNAO1, GNAS, GP1BA, GP5, GPR21, GPRIN1, GPX1, GZMA, HBA1/HBA2, HBEGF, HDGF, HGF, HK1, HK2, HLA-A, HNF1A, HNF4A, HNRNPA2B1, HOXB4, HOXD12, HRK, HRSP12, HSP90B1, HSPA2, HSPA5, HSPA9, HUS1, ICAM1, IK, IL12B, IL13, IL17RB, IL1B, IL1RL1, IL2RA, IL33, IL3RA, IL4, IL5RA, IL6, IMPDH2, ITGAM, ITGAV, ITGAX, ITGB3, ITGB7, JCHAIN, JUN, JUNBCIAPIN1, JUNB, KIF1B, KLF1, KLF13, KLF9, KPNB1, LAMP3, LATS2, LCN2, LIF, LILRB4, LTA, LY75, LY9, LYN, MAN2B1, MCL1, MCM5, MDM2, MID1, MLF2, MPO, MS4A2, MYC, MYO1C, NACA, NARS, NCF1, NCL, NCR2, NEDD9, NFATC1, NFATC3, NIFK, NKX2-3, NOTCH1, NOV, NRP1FUS, NRP1, ODC1, ORMDL3, OSM, PAPPA2, PDE1B, PDPN, PFKL, PHGDH, PIM1, PIM2, PIWIL1, PLA2G7, PLCB2, PPM1G, PRG2, PROX1, PSMA5, PSMB3, PSMB7, PSMC4, PSME1, PTPN11, PTPN22, RAG2, RALA, RAN, RANBP1, RARS, RB1, RBM3, RBPJ, RPL10, RPL11, RPL13, RPL3, RPL4, RPL5, RPL6, RPL7, RPS12, RPS14, RPS16, RPS17, RPS19, RPS20, RPS3, RPS4Y1, RPS6, RPS7ABCA2, RPS7, SELE, SELL, SERPINA3, SERPINB2, SH3BP1, SLAMF7, SLC2A1, SLC2A3, SLC3A2, SMAD4, SMAD5, SNRPD2, SOCS1, SOCS3, SOD1, SOX4, SOX5, SPEN, SPI1, SSBP1, STAT4, STT3A	271.0	6.620333333333332	induced
IL33	cytokine	ABCA1, ABCG1, ACAT1, ADAMTS1, ADORA2B, ADRBK1, APOE, ARG1, CCL1, CCL11, CCL17, CCL18, CCL3, CCR2, CD36, CD69, CD86, CISH, CLEC4E, CSF2, CXCL10, CXCL2, CXCL3, CXCL8, CXCR2, DEFB4A/DEFB4B, EGR2, EPX, GATA3, HCK, IFNG, IL10, IL13, IL17A, IL17F, IL17RB, IL1B, IL1RL1, IL2, IL31, IL4, IL5, IL6, ITGAM, JAG1	45.0	4.787	induced
